id,group,en,fr,it,de,es
EMPTY_STRING,GENERIC,"","","","",""
PROFESSOR_NAME,CHARACTER,"Professor Maple","","","",""
STARTER_TOWN_MAN_1_1,DIALOGUE,"What great weather we're having today!","","","",""
STARTER_TOWN_MAN_1_2,DIALOGUE,"It is nice to see you again, {PLAYER_NAME}, you've grown since I last saw you!","","","",""
STARTER_TOWN_MAN_1_3,DIALOGUE,"I was speaking to {PROFESSOR_NAME} earlier, I think he wanted to see you in his lab. Should be exciting for you!","","","",""
STARTER_TOWN_CYCLIST,DIALOGUE,"I love nothing more in my life than riding round and round in circles!!!","","","",""
STARTER_TOWN_FISHERMAN,DIALOGUE,"Perfect day for fishing and I left my rod at home! *SIGH* I guess I'm not gonna find the golden {MONSTER_129} today...","","","",""
STARTER_TOWN_PROFESSOR_SIGN,DIALOGUE,"{PROFESSOR_NAME}'s Laboratory. Open 7am-4pm","","","",""
PLAYER_BEDROOM_TV,DIALOGUE,"It looks like an episode of an old Japanese anime is on the TV.","","","",""
PLAYER_BEDROOM_LAPTOP_1,DIALOGUE,"There's a sticky note on the display... "{PLAYER_NAME}--remember to Press {PAUSE_BUTTON} to open your diary"","","","",""
PLAYER_BEDROOM_LAPTOP_2,DIALOGUE,"It's an email from your friend {RIVAL_NAME}: Be careful of entering the tall grass, I met my {MONSTER_506} that way, but there are much more dangerous creatures out there...","","","",""
PLAYER_MUM_1,DIALOGUE,"Morning, {PLAYER_NAME}! I was speaking to {PROFESSOR_NAME} and he wants to see you in his lab. Don't be long, I want you back in time for dinner at 18:30.","","","",""
GENERIC_TV_1,DIALOGUE,"BREAKING NEWS: Kanto Gym Leader arrested for harrassment charges, his {MONSTER_95} is going to be put to sleep as there is nobody left to care for it.","","","",""
GENERIC_TV_2,DIALOGUE,"Weather: Trainers in {STARTER_TOWN} have been using {MOVE_RAIN_DANCE} so expect light showers this evening.","","","",""
PAUSE_BUTTON,UI,"ESCAPE","","","",""




STAT_HP,STAT,"HP","","","",""
STAT_ATTACK,STAT,"Attack","","","",""
STAT_DEFENSE,STAT,"Defense","","","",""
STAT_ATTACK_SPECIAL,STAT,"Special Attack","","","",""
STAT_DEFENSE_SPECIAL,STAT,"Special Defense","","","",""
STAT_SPEED,STAT,"Speed","","","",""
STAT_ACCURACY,STAT,"Accuracy","","","",""
STAT_EVASION,STAT,"Evasion","","","",""




PLAYER_SWITCH_MONSTER,DYNAMIC_STRING,"Go, %1!","","","",""
OPPONENT_SWITCH_MONSTER,DYNAMIC_STRING,"%1 switched out to %2!","","","",""
MONSTER_FAINT,DYNAMIC_STRING,"%1 fainted.","","","",""
MONSTER_MOVE_NAME,DYNAMIC_STRING,"%1 used %2!","","","",""
MONSTER_ATTACK_MISS,DYNAMIC_STRING,"%1's attack missed!","","","",""
MONSTER_GAIN_EXPERIENCE,DYNAMIC_STRING,"Gained %1 Exp. Points!","","","",""
MONSTER_LEVEL_UP,DYNAMIC_STRING,"%1 grew to Lvl. %2!","","","",""

MONSTER_STAT_CHANGE_INCREASE_1,DYNAMIC_STRING,"%1's %2 rose!","","","",""
MONSTER_STAT_CHANGE_INCREASE_2,DYNAMIC_STRING,"%1's %2 sharply rose!","","","",""
MONSTER_STAT_CHANGE_INCREASE_3,DYNAMIC_STRING,"%1's %2 rose drastically!","","","",""
MONSTER_STAT_CHANGE_MAX,DYNAMIC_STRING,"%1's %2 could not get any higher!","","","",""

MONSTER_STAT_CHANGE_DECREASE_1,DYNAMIC_STRING,"%1's %2 fell!","","","",""
MONSTER_STAT_CHANGE_DECREASE_2,DYNAMIC_STRING,"%1's %2 harshly fell!","","","",""
MONSTER_STAT_CHANGE_DECREASE_3,DYNAMIC_STRING,"%1's %2 severly fell!","","","",""
MONSTER_STAT_CHANGE_MIN,DYNAMIC_STRING,"%1's %2 cannot get lower!","","","",""




PLAYER_WHITE_OUT,BATTLE,"{PLAYER_NAME} whited out!","","","",""
MOVE_IMMUNE,BATTLE,"It doesn't seem to affect %1","","","",""
MOVE_NOT_VERY_EFFECTIVE,BATTLE,"It was not very effective!","","","",""
MOVE_SUPER_EFFECTIVE,BATTLE,"It was Super Effective!","","","",""
MOVE_CRITICAL,BATTLE,"It was a Critical Hit!","","","",""




MONSTER_1,MONSTER_NAME,Bulbasaur,Bulbizarre,Bulbasaur,Bisasam,Bulbasaur
